transaction_id,transaction_date,transaction_time,transaction_amount,transaction_type,payment_method,merchant_category,merchant_name,customer_id,customer_age,customer_gender,city,state,device_type,bank_name,transaction_status,failure_reason,year,month,month_name,day,day_name,week,quarter,hour,is_weekend,transaction_success_flag,amount_bucket,year_month
TXN386056,2023-07-05,18:29:37,897.3,Utilities,UPI QR,Utilities,Gas Agency,CUST06121,19,Male,Kolkata,West Bengal,Ios,Hdfc Bank,Success,N/A,2023,7,July,5,Wednesday,27,3,18,0,1,Medium,2023-07
TXN604625,2024-04-19,05:12:07,1423.16,Bill Payment,UPI Lite,Bill Payment,BSNL,CUST03283,61,Male,Mumbai,Maharashtra,Android,Kotak Bank,Success,N/A,2024,4,April,19,Friday,16,2,5,0,1,High,2024-04
TXN123380,2023-12-02,16:15:07,1233.34,Shopping,UPI QR,Shopping,Snapdeal,CUST01674,27,Female,Jaipur,Rajasthan,Android,Paytm Payments Bank,Success,N/A,2023,12,December,2,Saturday,48,4,16,1,1,High,2023-12
TXN547624,2023-08-16,14:22:03,471.03,Food,UPI QR,Food,McDonald's,CUST04061,29,Male,Visakhapatnam,Andhra Pradesh,Android,Icici Bank,Success,N/A,2023,8,August,16,Wednesday,33,3,14,0,1,Medium,2023-08
TXN941540,2023-03-11,12:30:32,316.83,Food,UPI QR,Food,Domino's,CUST07979,32,Male,Kochi,Kerala,Android,Paytm Payments Bank,Success,N/A,2023,3,March,11,Saturday,10,1,12,1,1,Medium,2023-03
TXN688915,2023-09-25,20:22:42,457.35,Food,UPI QR,Food,Swiggy,CUST01521,54,Female,Bangalore,Karnataka,Ios,Hdfc Bank,Success,N/A,2023,9,September,25,Monday,39,3,20,0,1,Medium,2023-09
TXN683061,2024-01-26,10:48:57,397.48,Food,Mobile Number,Food,McDonald's,CUST00780,33,Female,Mumbai,Maharashtra,Android,Canara Bank,Failed,Invalid UPI PIN,2024,1,January,26,Friday,4,1,10,0,0,Medium,2024-01
TXN491170,2023-08-01,20:01:37,1049.13,Food,Mobile Number,Food,Domino's,CUST04730,23,Male,Pune,Maharashtra,Ios,Bank Of Baroda,Success,N/A,2023,8,August,1,Tuesday,31,3,20,0,1,High,2023-08
TXN304349,2024-04-28,22:24:29,654.63,Entertainment,UPI,Entertainment,Spotify,CUST01861,34,Male,Indore,Madhya Pradesh,Android,Punjab National Bank,Failed,Invalid UPI PIN,2024,4,April,28,Sunday,17,2,22,1,0,Medium,2024-04
TXN263383,2024-06-17,19:50:52,155.3,Food,Mobile Number,Food,Swiggy,CUST03760,43,Male,Surat,Gujarat,Android,Punjab National Bank,Success,N/A,2024,6,June,17,Monday,25,2,19,0,1,Low,2024-06
TXN601068,2024-05-25,15:16:56,253.77,Food,UPI QR,Food,McDonald's,CUST02447,35,Male,Chandigarh,Punjab,Android,Yes Bank,Success,N/A,2024,5,May,25,Saturday,21,2,15,1,1,Medium,2024-05
TXN178274,2024-06-09,18:08:19,1427.76,Bill Payment,UPI QR,Bill Payment,BSNL,CUST06412,40,Male,Jaipur,Rajasthan,Android,Jio Payments Bank,Success,N/A,2024,6,June,9,Sunday,23,2,18,1,1,High,2024-06
TXN633807,2024-05-03,19:22:07,5187.09,Bill Payment,UPI Lite,Bill Payment,Airtel,CUST05377,40,Male,Ahmedabad,Gujarat,Ios,Jio Payments Bank,Success,N/A,2024,5,May,3,Friday,18,2,19,0,1,Very High,2024-05
TXN428047,2023-02-27,09:56:02,3500.09,Shopping,UPI QR,Shopping,Meesho,CUST03833,26,Male,Chennai,Tamil Nadu,Android,Canara Bank,Failed,VPA Not Found,2023,2,February,27,Monday,9,1,9,0,0,High,2023-02
TXN271752,2023-12-31,16:33:35,208.83,Recharge,UPI QR,Recharge,BSNL,CUST02376,54,Female,Bangalore,Karnataka,Ios,Paytm Payments Bank,Success,N/A,2023,12,December,31,Sunday,52,4,16,1,1,Medium,2023-12
TXN788128,2024-02-08,13:00:14,718.61,Food,UPI Lite,Food,McDonald's,CUST04777,25,Male,Surat,Gujarat,Android,Bank Of Baroda,Success,N/A,2024,2,February,8,Thursday,6,1,13,0,1,Medium,2024-02
TXN389642,2024-01-09,20:15:35,854.33,Utilities,UPI,Utilities,Internet Provider,CUST05599,37,Male,Indore,Madhya Pradesh,Ios,Indusind Bank,Failed,Invalid UPI PIN,2024,1,January,9,Tuesday,2,1,20,0,0,Medium,2024-01
TXN301099,2023-01-18,16:11:40,2435.4,Shopping,Mobile Number,Shopping,Meesho,CUST06526,19,Male,Hyderabad,Telangana,Android,Canara Bank,Success,N/A,2023,1,January,18,Wednesday,3,1,16,0,1,High,2023-01
TXN496108,2023-10-21,19:49:22,1188.57,Travel,Mobile Number,Travel,MakeMyTrip,CUST04603,31,Male,Bangalore,Karnataka,Ios,Kotak Bank,Success,N/A,2023,10,October,21,Saturday,42,4,19,1,1,High,2023-10
TXN251709,2023-03-11,06:23:31,416.21,Recharge,UPI Lite,Recharge,Vi,CUST06442,25,Male,Surat,Gujarat,Android,Paytm Payments Bank,Success,N/A,2023,3,March,11,Saturday,10,1,6,1,1,Medium,2023-03
